title,year,location,project_id,publication_date
Lightrailstation The Hague / architectural studio ZJA,2016,"The Hague, The Netherlands",992259,2022-11-17T03:00:00.000Z
The Endemic House / ESEcolectivo,2021,"Puerto Baquerizo Moreno, Ecuador",970290,2022-11-17T02:00:00.000Z
Winery Přátelé Pavlova / Atelier Štepán,2021,"Pavlov, Czech Republic",992345,2022-11-17T01:00:00.000Z
Tanatap Canopy Garden Café and Restaurant / RAD+ar (Research Artistic Design + architecture),2022,"Bekasi Regency, Indonesia",992292,2022-11-17T00:00:00.000Z
Nanning Shuangding Waste-to-Energy Power Plant / UUA (United Units Architects),2022,"Nanning, China",992223,2022-11-16T22:00:00.000Z
PAK Office / PAK Architects,2021,"Hanoi, Vietnam",992274,2022-11-16T20:00:00.000Z
Project 58 Residence / The Purple Ink Studio,2021,"Bengaluru, India",992183,2022-11-16T18:00:00.000Z
Middle Half House / SAW // Spiegel Aihara Workshop,2022,"Mill Valley, United States",992328,2022-11-16T16:00:00.000Z
Dim Cloud Offices / fala,2021,"Porto, Portugal",992283,2022-11-16T14:00:00.000Z
EDGE Suedkreuz Berlin Offices / Tchoban Voss Architekten,2022,"Berlin, Germany",992168,2022-11-16T12:00:00.000Z
SuperHub Meerstad Market  / De Zwarte Hond,2022,"Groningen, The Netherlands",992252,2022-11-16T10:00:00.000Z
De-Hostel / Studio APL,2021,Taiwan,992233,2022-11-16T07:00:00.000Z
Rubenstein Commons Institute for Advanced Study / Steven Holl Architects,2022,"Princeton, United States",992240,2022-11-16T06:00:00.000Z
Freedom Museum / architectural studio ZJA,2020,"Groesbeek, The Netherlands",992248,2022-11-16T03:00:00.000Z
Olive Passive House / DEMO Architects,2021,"Olivebridge, United States",992258,2022-11-16T02:00:00.000Z
L’Esquirol House / SAU Taller d’Arquitectura,2021,"Barcelona, Spain",970270,2022-11-16T01:00:00.000Z
Jianshang Sports Complex / CCDI,2022,"Shenzhen, China",992154,2022-11-16T00:00:00.000Z
Mahon Pool Amenities / Lahznimmo Architects,2020,"Maroubra, Australia",992232,2022-11-15T22:00:00.000Z
House over the wall / Chaoffice,2022,"Beijing, China",992169,2022-11-15T20:00:00.000Z
Credit House / DX Arquitectos,2017,"Providencia, Chile",992197,2022-11-15T18:00:00.000Z
